Facebook_Id,post_id_count,Total Interactions_mean,Total Interactions_median,Total Interactions_sum,Likes_mean,Likes_median,Likes_sum,Comments_mean,Comments_median,Comments_sum,Shares_mean,Shares_median,Shares_sum,Post Views_mean,Post Views_median,Post Views_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean,environment_topic_illuminating_mean,incivility_illuminating_mean,fraud_illuminating_mean
058bd86861262fa71733f8515c34b729d9ebcad3d318e2a133a6c572dd80ba0b,210,105.73,65.5,22204.0,59.05,37.0,12400,26.34,14.0,5532,5.3,4.0,1114,251.94,0.0,52907.0,1,1,0.0,0.21,0.02,0.07,0.18,0.0
278df0e37b61bf8a5a6374873b38faddd50fffea73eaeb55c3c6240f79d1ba9f,23,15.09,4.0,347.0,6.26,2.0,144,3.83,0.0,88,0.48,0.0,11,7.61,0.0,175.0,1,0,0.3,0.09,0.04,0.0,0.0,0.0
32fc18da91029ff09bf74fe9887eace6b5d2145809d583f696e344530508b064,9013,157.79,68.0,1359011.0,172.4,34.0,1553812,39.68,10.0,357600,34.54,4.0,311345,503.37,0.0,4179482.0,1,0,0.02,0.06,0.01,0.01,0.13,0.02
459abece909c3b58ecbea0ad3bf398ae90216c170fff442979f2ac3f72f4c190,22,88.32,70.5,1943.0,43.91,40.5,966,24.64,14.5,542,5.5,5.0,121,43.64,0.0,960.0,0,0,0.0,0.0,0.0,0.0,0.05,0.0
4bd0a74df1b4df50157a304ace4291c947560a05da059ea6c8935cc11de7014d,98,3139.16,2214.0,307638.0,2323.9,1590.5,227742,731.76,490.5,71712,83.51,42.0,8184,,,0.0,1,1,0.0,0.39,0.1,0.08,0.0,0.0
7ec2cb4abf8effe3d91de57944c56b938b4f33059a6e33dfe23b549cf229989a,616,64981.01,52792.0,16830082.0,39394.85,23716.5,24267226,13920.44,9445.0,8574994,4835.73,2936.5,2978811,172083.2,0.0,61605785.0,0,0,0.3,0.02,0.0,0.0,0.06,0.0
7f5731ac8e6959576e781064b5fa76e059200cdfc3f4e0d7b68bc98792d2cf5b,1158,930.26,656.0,493039.0,797.74,488.0,923786,608.75,411.0,704934,74.64,45.0,86438,2366.88,0.0,2527824.0,1,0,0.02,0.13,0.02,0.01,0.15,0.0
834f691e4ca1c67a7e33db1638caa579b426082e25427c63cb98679fb36af452,23,139.3,76.0,3204.0,100.61,56.0,2314,17.17,8.0,395,6.52,2.0,150,13142.22,0.0,302271.0,0,0,0.09,0.0,0.0,0.0,0.04,0.0
8e8dac0ee6f22255b9d9365845a7fb830627cc27d34934c4f097689ec8da6719,269,6406.48,1286.0,467673.0,5441.34,1700.0,1463720,989.59,493.0,266200,235.59,119.0,63373,2029.11,0.0,456550.0,1,0,0.02,0.07,0.03,0.0,0.12,0.0
a3fa0d15dd83b910295d0b17f9d341e737eddcb8d9b8081758140584c710406e,1074,2574.02,759.0,1598466.0,2536.64,773.0,2724349,374.97,216.5,402720,190.13,68.0,204202,11817.23,2367.0,10127370.0,1,0,0.05,0.08,0.02,0.05,0.16,0.01
a6cb7db6850459b954f7272e14d770617022639f8847cf25e6859b9453a03813,29,115.52,81.0,3350.0,50.45,41.0,1463,46.79,21.0,1357,3.59,3.0,104,59.17,0.0,1716.0,1,0,0.03,0.03,0.03,0.03,0.1,0.0
ac24f31c4d4b3d5555065fa9558bdca4ab4b5e1379922875ae9e6e32f1d46d25,1231,15243.3,9434.5,6402187.0,5042.92,1427.0,6207838,1842.97,729.0,2268702,600.95,182.0,739766,5272.2,0.0,4571001.0,1,1,0.06,0.17,0.02,0.02,0.11,0.0
b1daf9f2909abed80b7e02520dfd0bfdc22128e3b92c2aba8cb3b44a6bc42cbe,336,783.67,772.0,103445.0,578.84,344.5,194490,616.64,467.5,207192,93.62,63.5,31457,6342.93,2961.0,2124882.0,1,1,0.05,0.1,0.02,0.03,0.19,0.0
b9d563b713eeb6c6b73092e53d377fddb137463b7d560b8c5be11e7842b26f50,310,336.25,261.0,99193.0,157.96,87.0,48968,188.44,114.5,58417,17.18,12.0,5325,1049.21,0.0,302172.0,1,1,0.02,0.11,0.01,0.01,0.08,0.0
be8f65731d2b8c239809bdb13e9abae804fe2d074a9b75e034a81d2ae578e4bb,136,495.68,490.0,51055.0,193.6,145.5,26329,434.46,329.0,59087,19.1,11.0,2597,4428.54,1839.5,602281.0,1,0,0.02,0.01,0.01,0.0,0.26,0.0
bfe51c6ac2cab17ba5c85883e76f61398031ed57e4cf62d19fd483548ebb904b,1431,368.67,202.0,490701.0,262.42,100.0,375527,81.2,24.0,116204,56.39,31.0,80691,822.93,0.0,1055824.0,0,0,0.13,0.12,0.02,0.02,0.13,0.0
d6008f090fcb5df7263efe969d3fc268e0ec1f6d75c8ff692b2eeacc9c48b309,929,18173.82,12446.0,1508427.0,5086.69,3250.0,4725536,3711.96,3068.0,3448408,975.35,533.0,906103,11976.97,0.0,10144490.0,1,1,0.06,0.26,0.04,0.02,0.14,0.0
ee4bad47ee7b6d5da4b19f72dfc6df401cb36563474277cbf66624e2151cc84d,241,68.76,49.0,16570.0,32.95,29.0,7941,20.68,10.0,4983,6.15,4.0,1483,124.15,0.0,29919.0,1,0,0.08,0.1,0.02,0.0,0.06,0.0
fc098d51a4f57bc4bd48a4e1c0615ce3694f896160aca668c525b5b29e41b7d1,460,319.77,254.5,138140.0,234.03,129.5,107655,75.75,39.0,34846,85.83,45.5,39484,1908.58,0.0,715719.0,1,0,0.05,0.05,0.02,0.04,0.12,0.0
fdab9de35cdff952e4e0026ef74d9a06f5fdbde3076c201637d0a14f1988e77d,757,604.94,432.5,428299.0,314.24,207.0,237880,181.9,89.0,137699,129.87,84.0,98312,240.02,0.0,121692.0,1,0,0.12,0.09,0.01,0.1,0.12,0.0
fedbfaab19b5112a6889b862314ca9d3a626b22df7f959db3d9b1c4c54e69948,643,9847.6,3940.5,1496835.0,3246.54,1320.0,2087526,647.87,352.0,416583,830.57,378.0,534054,15293.95,6342.0,8365788.0,1,0,0.09,0.11,0.0,0.06,0.16,0.0
