source,total_posts,retweetCount_mean,retweetCount_median,retweetCount_sum,replyCount_mean,replyCount_median,replyCount_sum,likeCount_mean,likeCount_median,likeCount_sum,quoteCount_mean,quoteCount_median,quoteCount_sum,viewCount_mean,viewCount_median,viewCount_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
Canva,1,69.0,69.0,69,324.0,324.0,324,490.0,490.0,490,40.0,40.0,40,41173.0,41173.0,41173,1.0,0.0,0.0,0.0,0.0
Hootsuite Inc.,47,129.98,86.0,6109,37.19,28.0,1748,380.83,241.0,17899,7.53,5.0,354,29066.62,24063.0,1366131,0.0,0.0,0.0,0.0,0.02
Later Media,1,93.0,93.0,93,18.0,18.0,18,280.0,280.0,280,10.0,10.0,10,12847.0,12847.0,12847,1.0,0.0,0.0,0.0,0.0
Loomly,10,25.4,0.0,254,23.1,4.5,231,160.3,7.0,1603,1.4,0.0,14,17030.0,6493.0,170300,1.0,0.0,0.0,0.1,0.0
Periscope,103,596.73,214.0,61463,402.06,153.0,41412,2483.36,823.0,255786,78.51,15.0,8087,303090.44,81275.0,31218315,0.0,0.0,0.0,0.0,0.0
Sprout Social,2933,3524.79,2198.0,10338219,5186.27,3361.0,15211336,18173.41,9480.0,53302601,426.12,195.0,1249810,1501097.31,659392.0,4402718407,1.0,1.0,0.0,0.24,0.03
TweetDeck Web App,7,1911.14,675.0,13378,659.29,301.0,4615,10360.43,12008.0,72523,155.57,105.0,1089,624732.43,424611.0,4373127,0.0,0.0,0.0,0.0,0.0
Twitter Media Studio,499,1586.21,482.0,791520,1162.29,341.0,579985,7397.89,2432.0,3691549,142.99,38.0,71351,472523.46,183157.0,235789207,1.0,0.0,0.0,0.13,0.02
Twitter Web App,14930,1317.11,418.0,19664442,719.2,132.5,10737719,6669.75,1660.0,99579349,120.05,19.0,1792272,474031.23,71613.0,7077286258,1.0,1.0,0.01,0.18,0.02
Twitter Web Client,1,98.0,98.0,98,26.0,26.0,26,340.0,340.0,340,6.0,6.0,6,19547.0,19547.0,19547,1.0,1.0,0.0,1.0,0.0
Twitter for Advertisers,7,97.0,59.0,679,138.71,143.0,971,755.57,579.0,5289,11.43,8.0,80,50335.0,21476.0,352345,1.0,1.0,0.0,0.0,0.14
Twitter for Android,5,10.6,7.0,53,8.4,5.0,42,63.8,45.0,319,0.4,0.0,2,19899.4,14241.0,99497,0.0,0.0,0.0,0.0,0.0
Twitter for iPad,266,65.38,59.5,17390,21.3,13.0,5666,222.7,192.5,59237,8.26,5.0,2196,21353.53,15378.5,5680038,1.0,0.0,0.0,0.14,0.03
Twitter for iPhone,8494,612.62,82.5,5203628,289.79,57.0,2461493,3741.96,413.0,31784204,43.78,6.0,371828,245622.12,35590.5,2086314326,0.0,0.0,0.01,0.1,0.02
